2022-05-22 15:48:05,206 | DEBUG | nextcord.client |  Dispatching event ready
2022-05-22 15:48:05,207 | DEBUG | nextcord.gateway |  Sending "{"op":3,"d":{"activities":[{"type":0,"name":"Among Us","timestamps":{}}],"afk":false,"since":0.0,"status":"online"}}" to change status
2022-05-22 15:48:09,757 | DEBUG | nextcord.gateway |  For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 3, 'op': 0, 'd': {'user_id': '398821987277078529', 'timestamp': 1653230890, 'member': {'user': {'username': 'BigManCallum', 'public_flags': 128, 'id': '398821987277078529', 'discriminator': '8265', 'avatar': '20ff9228588f9dfd0edf5ffb5f358ac3'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2020-06-02T18:05:10.986000+00:00', 'hoisted_role': None, 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, 'channel_id': '717438681195216951', 'guild_id': '717438681195216947'}}
2022-05-22 15:48:09,757 | DEBUG | nextcord.client |  Dispatching event socket_event_type
2022-05-22 15:48:09,758 | DEBUG | nextcord.client |  Dispatching event raw_typing
2022-05-22 15:48:09,758 | DEBUG | nextcord.client |  Dispatching event typing
2022-05-22 15:48:16,609 | DEBUG | nextcord.gateway |  For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2022-05-22T14:48:17.067000+00:00', 'referenced_message': None, 'pinned': False, 'nonce': '977946004231815168', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2020-06-02T18:05:10.986000+00:00', 'hoisted_role': None, 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, 'id': '977946005490257950', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '~hi', 'components': [], 'channel_id': '717438681195216951', 'author': {'username': 'BigManCallum', 'public_flags': 128, 'id': '398821987277078529', 'discriminator': '8265', 'avatar_decoration': None, 'avatar': '20ff9228588f9dfd0edf5ffb5f358ac3'}, 'attachments': [], 'guild_id': '717438681195216947'}}
2022-05-22 15:48:16,609 | DEBUG | nextcord.client |  Dispatching event socket_event_type
2022-05-22 15:48:16,609 | DEBUG | nextcord.client |  Dispatching event message
2022-05-22 15:48:16,609 | DEBUG | nextcord.client |  Dispatching event command
2022-05-22 15:48:16,911 | DEBUG | nextcord.gateway |  For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2022-05-22T14:48:17.356000+00:00', 'referenced_message': None, 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['717440660919287929'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2020-06-02T18:13:02.972000+00:00', 'hoisted_role': None, 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, 'id': '977946006702395473', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'hai!', 'components': [], 'channel_id': '717438681195216951', 'author': {'username': 'ONUW Bot', 'public_flags': 0, 'id': '641724526677458944', 'discriminator': '8737', 'bot': True, 'avatar_decoration': None, 'avatar': 'f8176d25265dfa406eb501eefc96650d'}, 'attachments': [], 'guild_id': '717438681195216947'}}
2022-05-22 15:48:16,911 | DEBUG | nextcord.client |  Dispatching event socket_event_type
2022-05-22 15:48:16,911 | DEBUG | nextcord.client |  Dispatching event message
2022-05-22 15:48:16,964 | DEBUG | nextcord.http |  POST https://discord.com/api/v9/channels/717438681195216951/messages with {"content":"hai!"} has returned 200
2022-05-22 15:48:16,964 | DEBUG | nextcord.http |  POST https://discord.com/api/v9/channels/717438681195216951/messages has received {'id': '977946006702395473', 'type': 0, 'content': 'hai!', 'channel_id': '717438681195216951', 'author': {'id': '641724526677458944', 'username': 'ONUW Bot', 'avatar': 'f8176d25265dfa406eb501eefc96650d', 'avatar_decoration': None, 'discriminator': '8737', 'public_flags': 0, 'bot': True}, 'attachments': [], 'embeds': [], 'mentions': [], 'mention_roles': [], 'pinned': False, 'mention_everyone': False, 'tts': False, 'timestamp': '2022-05-22T14:48:17.356000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'referenced_message': None}
2022-05-22 15:48:16,964 | DEBUG | nextcord.client |  Dispatching event command_completion
